date,USD
1/1/2023,4.39
2/1/2023,4.39
3/1/2023,4.404
4/1/2023,4.4
5/1/2023,4.39
6/1/2023,4.402
7/1/2023,4.402
8/1/2023,4.402
9/1/2023,4.3755
10/1/2023,4.373
11/1/2023,4.373
12/1/2023,4.3645
13/1/2023,4.3345
14/1/2023,4.3345
15/1/2023,4.3345
16/1/2023,4.32
17/1/2023,4.325
18/1/2023,4.3195
19/1/2023,4.3035
20/1/2023,4.2855
21/1/2023,4.2855
22/1/2023,4.2855
23/1/2023,4.2855
24/1/2023,4.2855
25/1/2023,4.2635
26/1/2023,4.2475
27/1/2023,4.245
28/1/2023,4.245
29/1/2023,4.245
30/1/2023,4.2465
31/1/2023,4.2635
1/2/2023,4.2635
2/2/2023,4.2445
3/2/2023,4.265
4/2/2023,4.265
5/2/2023,4.265
6/2/2023,4.265
7/2/2023,4.3075
8/2/2023,4.299
9/2/2023,4.3145
10/2/2023,4.3315
11/2/2023,4.3315
12/2/2023,4.3315
13/2/2023,4.3575
14/2/2023,4.35
15/2/2023,4.395
16/2/2023,4.406
17/2/2023,4.4315
18/2/2023,4.4315
19/2/2023,4.4315
20/2/2023,4.4305
21/2/2023,4.4325
22/2/2023,4.441
23/2/2023,4.4345
24/2/2023,4.4355
25/2/2023,4.4355
26/2/2023,4.4355
27/2/2023,4.478
28/2/2023,4.4885
1/3/2023,4.4715
2/3/2023,4.4775
3/3/2023,4.476
4/3/2023,4.476
5/3/2023,4.476
6/3/2023,4.4725
7/3/2023,4.4725
8/3/2023,4.5255
9/3/2023,4.522
10/3/2023,4.52
11/3/2023,4.52
12/3/2023,4.52
13/3/2023,4.486
14/3/2023,4.4803
15/3/2023,4.482
16/3/2023,4.5015
17/3/2023,4.484
18/3/2023,4.484
19/3/2023,4.484
20/3/2023,4.486
21/3/2023,4.475
22/3/2023,4.4655
23/3/2023,4.4195
24/3/2023,4.426
25/3/2023,4.426
26/3/2023,4.426
27/3/2023,4.426
28/3/2023,4.404
29/3/2023,4.421
30/3/2023,4.4193
31/3/2023,4.417
1/4/2023,4.417
2/4/2023,4.417
3/4/2023,4.4215
4/4/2023,4.4065
5/4/2023,4.3985
6/4/2023,4.402
7/4/2023,4.402
8/4/2023,4.402
9/4/2023,4.402
10/4/2023,4.4085
11/4/2023,4.4165
12/4/2023,4.4125
13/4/2023,4.402
14/4/2023,4.403
15/4/2023,4.403
16/4/2023,4.403
17/4/2023,4.422
18/4/2023,4.4355
19/4/2023,4.437
20/4/2023,4.4355
21/4/2023,4.4355
22/4/2023,4.4355
23/4/2023,4.4355
24/4/2023,4.4355
25/4/2023,4.4495
26/4/2023,4.4575
27/4/2023,4.459
28/4/2023,4.4585
29/4/2023,4.4585
30/4/2023,4.4585
1/5/2023,4.4585
2/5/2023,4.4625
3/5/2023,4.4525
4/5/2023,4.4525
5/5/2023,4.437
6/5/2023,4.437
7/5/2023,4.437
8/5/2023,4.437
9/5/2023,4.439
10/5/2023,4.457
11/5/2023,4.4635
12/5/2023,4.4755
13/5/2023,4.4755
14/5/2023,4.4755
15/5/2023,4.5005
16/5/2023,4.4995
17/5/2023,4.5245
18/5/2023,4.5355
19/5/2023,4.537
20/5/2023,4.537
21/5/2023,4.537
22/5/2023,4.5475
23/5/2023,4.57
24/5/2023,4.5905
25/5/2023,4.624
26/5/2023,4.6075
27/5/2023,4.6075
28/5/2023,4.6075
29/5/2023,4.6065
30/5/2023,4.6075
31/5/2023,4.6225
1/6/2023,4.6155
2/6/2023,4.585
3/6/2023,4.585
4/6/2023,4.585
5/6/2023,4.585
6/6/2023,4.605
7/6/2023,4.604
8/6/2023,4.6185
9/6/2023,4.6125
10/6/2023,4.6125
11/6/2023,4.6125
12/6/2023,4.6175
13/6/2023,4.6175
14/6/2023,4.6195
15/6/2023,4.632
16/6/2023,4.6145
17/6/2023,4.6145
18/6/2023,4.6145
19/6/2023,4.626
20/6/2023,4.6375
21/6/2023,4.643
22/6/2023,4.651
23/6/2023,4.6765
24/6/2023,4.6765
25/6/2023,4.6765
26/6/2023,4.6765
27/6/2023,4.665
28/6/2023,4.672
29/6/2023,4.672
30/6/2023,4.665
1/7/2023,4.665
2/7/2023,4.665
3/7/2023,4.672
4/7/2023,4.6525
5/7/2023,4.653
6/7/2023,4.663
7/7/2023,4.6655
8/7/2023,4.6655
9/7/2023,4.6655
10/7/2023,4.67
11/7/2023,4.664
12/7/2023,4.651
13/7/2023,4.5945
14/7/2023,4.5295
15/7/2023,4.5295
16/7/2023,4.5295
17/7/2023,4.54
18/7/2023,4.5395
19/7/2023,4.5395
20/7/2023,4.55
21/7/2023,4.5625
22/7/2023,4.5625
23/7/2023,4.5625
24/7/2023,4.578
25/7/2023,4.5605
26/7/2023,4.552
27/7/2023,4.5215
28/7/2023,4.5555
29/7/2023,4.5555
30/7/2023,4.5555
31/7/2023,4.503
1/8/2023,4.5175
2/8/2023,4.54
3/8/2023,4.559
4/8/2023,4.553
5/8/2023,4.553
6/8/2023,4.553
7/8/2023,4.56
8/8/2023,4.5825
9/8/2023,4.57
10/8/2023,4.572
11/8/2023,4.583
12/8/2023,4.583
13/8/2023,4.583
14/8/2023,4.6125
15/8/2023,4.6375
16/8/2023,4.6295
17/8/2023,4.649
18/8/2023,4.6475
19/8/2023,4.6475
20/8/2023,4.6475
21/8/2023,4.652
22/8/2023,4.648
23/8/2023,4.6548
24/8/2023,4.645
25/8/2023,4.6435
26/8/2023,4.6435
27/8/2023,4.6435
28/8/2023,4.6545
29/8/2023,4.644
30/8/2023,4.6455
31/8/2023,4.6455
1/9/2023,4.6445
2/9/2023,4.6445
3/9/2023,4.6445
4/9/2023,4.655
5/9/2023,4.6625
6/9/2023,4.6725
7/9/2023,4.6785
8/9/2023,4.676
9/9/2023,4.676
10/9/2023,4.676
11/9/2023,4.673
12/9/2023,4.6775
13/9/2023,4.681
14/9/2023,4.6815
15/9/2023,4.684
16/9/2023,4.684
17/9/2023,4.684
18/9/2023,4.6905
19/9/2023,4.6965
20/9/2023,4.6855
21/9/2023,4.689
22/9/2023,4.6875
23/9/2023,4.6875
24/9/2023,4.6875
25/9/2023,4.6845
26/9/2023,4.69
27/9/2023,4.7045
28/9/2023,4.7045
29/9/2023,4.692
30/9/2023,4.692
1/10/2023,4.692
2/10/2023,4.712
3/10/2023,4.7195
4/10/2023,4.7315
5/10/2023,4.73
6/10/2023,4.7165
7/10/2023,4.7165
8/10/2023,4.7165
9/10/2023,4.7338
10/10/2023,4.7285
11/10/2023,4.723
12/10/2023,4.717
13/10/2023,4.729
14/10/2023,4.729
15/10/2023,4.729
16/10/2023,4.736
17/10/2023,4.736
18/10/2023,4.743
19/10/2023,4.766
20/10/2023,4.767
21/10/2023,4.767
22/10/2023,4.767
23/10/2023,4.788
24/10/2023,4.785
25/10/2023,4.779
26/10/2023,4.787
27/10/2023,4.778
28/10/2023,4.778
29/10/2023,4.778
30/10/2023,4.7655
31/10/2023,4.764
1/11/2023,4.771
2/11/2023,4.753
3/11/2023,4.7335
4/11/2023,4.7335
5/11/2023,4.7335
6/11/2023,4.6375
7/11/2023,4.6715
8/11/2023,4.6825
9/11/2023,4.692
10/11/2023,4.7065
11/11/2023,4.7065
12/11/2023,4.7065
13/11/2023,4.7065
14/11/2023,4.7225
15/11/2023,4.6665
16/11/2023,4.692
17/11/2023,4.6805
18/11/2023,4.6805
19/11/2023,4.6805
20/11/2023,4.6725
21/11/2023,4.651
22/11/2023,4.6815
23/11/2023,4.678
24/11/2023,4.6845
25/11/2023,4.6845
26/11/2023,4.6845
27/11/2023,4.678
28/11/2023,4.6715
29/11/2023,4.6575
30/11/2023,4.6615
1/12/2023,4.6815
2/12/2023,4.6815
3/12/2023,4.6815
4/12/2023,4.6605
5/12/2023,4.6635
6/12/2023,4.6685
7/12/2023,4.674
8/12/2023,4.6645
9/12/2023,4.6645
10/12/2023,4.6645
11/12/2023,4.6825
12/12/2023,4.6845
13/12/2023,4.7065
14/12/2023,4.6725
15/12/2023,4.6705
16/12/2023,4.6705
17/12/2023,4.6705
18/12/2023,4.6945
19/12/2023,4.6815
20/12/2023,4.6575
21/12/2023,4.6555
22/12/2023,4.631
23/12/2023,4.631
24/12/2023,4.631
25/12/2023,4.631
26/12/2023,4.632
27/12/2023,4.633
28/12/2023,4.609
29/12/2023,4.59
30/12/2023,4.59
31/12/2023,4.59
1/1/2024,4.59
2/1/2024,4.5998
3/1/2024,4.6355
4/1/2024,4.6375
5/1/2024,4.6505
6/1/2024,4.6505
7/1/2024,4.6505
8/1/2024,4.651
9/1/2024,4.6453
10/1/2024,4.6465
11/1/2024,4.642
12/1/2024,4.6465
13/1/2024,4.6465
14/1/2024,4.6465
15/1/2024,4.6675
16/1/2024,4.688
17/1/2024,4.7175
18/1/2024,4.7175
19/1/2024,4.7195
20/1/2024,4.7195
21/1/2024,4.7195
22/1/2024,4.7285
23/1/2024,4.7275
24/1/2024,4.7355
25/1/2024,4.7355
26/1/2024,4.7275
27/1/2024,4.7275
28/1/2024,4.7275
29/1/2024,4.7345
30/1/2024,4.7275
31/1/2024,4.7295
1/2/2024,4.7295
2/2/2024,4.7225
3/2/2024,4.7225
4/2/2024,4.7225
5/2/2024,4.7545
6/2/2024,4.7655
7/2/2024,4.7595
8/2/2024,4.7695
9/2/2024,4.7655
10/2/2024,4.7655
11/2/2024,4.7655
12/2/2024,4.7655
13/2/2024,4.766
14/2/2024,4.7859
15/2/2024,4.7805
16/2/2024,4.7775
17/2/2024,4.7775
18/2/2024,4.7775
19/2/2024,4.7845
20/2/2024,4.7975
21/2/2024,4.7975
22/2/2024,4.7725
23/2/2024,4.7785
24/2/2024,4.7785
25/2/2024,4.7785
26/2/2024,4.777
27/2/2024,4.7705
28/2/2024,4.7675
